datetime,total_lmp_day_ahead,total_lmp_real_time,congestion_price_day_ahead,congestion_price_real_time,marginal_loss_price_day_ahead,marginal_loss_price_real_time,rt_da_spread,congestion_share_da,congestion_share_rt,da_price_spike,rt_price_spike,load_mw,temperature_2m,hour,dayofweek,month,is_weekend,sin_hour,cos_hour
2024-07-11 06:00:00,27.636276,25.133393,0.509961,0.004715,-1.073685,-0.297156,-2.502882999999997,0.018452594698359505,0.00018759902413494268,0,0,13392.573,16.0,16,0,12,0,-0.8660254037844384,-0.5000000000000004
2024-07-11 07:00:00,27.492872,23.834901,0.063311,0.126748,-0.970439,-0.346014,-3.657971,0.002302815071484711,0.005317748120707529,0,0,14057.957,17.0,9,0,5,0,0.7071067811865476,-0.7071067811865475
2024-07-11 08:00:00,28.1587,26.002196,-1.077087,0.0,-1.004213,-0.443638,-2.156503999999998,-0.03825059395497661,0.0,0,0,14828.382,19.1,0,0,11,0,0.0,1.0
2024-07-11 09:00:00,32.950767,27.024192,-1.763088,0.022096,-1.426145,-0.352905,-5.926575,-0.0535067362771859,0.0008176377669312,0,0,15398.13,21.0,17,6,4,1,-0.9659258262890683,-0.25881904510252063
2024-07-11 10:00:00,34.786926,25.593713,-0.869831,0.0,-1.783243,-0.31962,-9.193213,-0.02500453762427873,0.0,0,0,16240.075,23.1,9,6,10,1,0.7071067811865476,-0.7071067811865475
2024-07-11 11:00:00,38.07766,53.998384,-2.614076,1.932108,-2.188264,-0.475391,15.920724,-0.06865117236720954,0.035780848552801135,0,0,17072.393,24.8,1,6,3,1,0.25881904510252074,0.9659258262890683
2024-07-11 12:00:00,41.321135,34.754382,-1.583443,0.333441,-2.365422,-0.305725,-6.5667529999999985,-0.03832041399637256,0.009594214623065374,0,0,17763.747000000003,26.0,17,5,9,1,-0.9659258262890683,-0.25881904510252063
2024-07-11 13:00:00,43.654263,41.091546,-4.067204,0.968646,-2.648533,-0.222933,-2.5627169999999992,-0.09316854118004467,0.023572877983223117,0,0,18621.114,27.0,8,5,2,1,0.8660254037844387,-0.4999999999999998
2024-07-11 14:00:00,48.729252,193.040247,-4.824063,12.90507,-3.036685,-0.733156,144.310995,-0.09899727170037413,0.06685170683603611,0,1,19191.618000000002,27.9,1,5,8,1,0.25881904510252074,0.9659258262890683
2024-07-11 15:00:00,56.27505,56.588625,-7.908743,1.308485,-3.636207,-0.531526,0.31357500000000016,-0.14053728961591327,0.023122756561057986,0,0,19554.91,28.9,16,4,1,0,-0.8660254037844384,-0.5000000000000004
2024-07-11 16:00:00,68.566681,122.174393,-8.406415,8.68476,-4.226904,-1.1412,53.60771199999999,-0.12260204048669061,0.07108494494423231,0,1,19963.85,29.3,9,4,7,0,0.7071067811865476,-0.7071067811865475
2024-07-11 17:00:00,72.460815,61.760276,-9.376425,2.635539,-4.65276,-0.730264,-10.700539,-0.12939993843569106,0.042673692067049705,1,0,20151.314,29.5,0,4,12,0,0.0,1.0
2024-07-11 18:00:00,70.750759,46.131119,-6.19632,0.959616,-4.282921,-0.537664,-24.619640000000004,-0.0875795551536062,0.02080192331775,1,0,19889.15,29.1,17,3,6,0,-0.9659258262890683,-0.25881904510252063
2024-07-11 19:00:00,57.671993,44.825869,-3.911551,1.377162,-3.476456,-0.351294,-12.846124000000003,-0.06782409964573272,0.03072248303764061,0,0,19536.364,28.0,8,3,11,0,0.8660254037844387,-0.4999999999999998
2024-07-11 20:00:00,45.509231,42.513897,-1.319308,1.096918,-2.301461,-0.230521,-2.9953339999999997,-0.02898989877460245,0.025801398540340824,0,0,18691.438000000002,26.5,1,3,5,0,0.25881904510252074,0.9659258262890683
2024-07-11 21:00:00,44.035287,93.558466,-0.388878,5.91587,-1.935835,-0.41907,49.523179,-0.00883105405898683,0.0632317977509379,0,1,17998.41,24.4,17,2,10,0,-0.9659258262890683,-0.25881904510252063
2024-07-11 22:00:00,35.419323,40.388572,0.418342,1.142846,-1.239019,-0.163441,4.969249000000005,0.011811123549707599,0.028296271529481158,0,0,16990.367,23.0,9,2,4,0,0.7071067811865476,-0.7071067811865475
2024-07-11 23:00:00,28.735302,26.636964,0.484728,0.186208,-1.189426,-0.05341,-2.098338000000002,0.016868728228434837,0.0069905864647337446,0,0,15619.279999999999,21.0,1,2,9,0,0.25881904510252074,0.9659258262890683
2024-07-12 00:00:00,29.596365,25.802821,0.526638,0.789074,-0.810273,-0.177087,-3.793543999999997,0.017794009500828906,0.030580919814930312,0,0,14493.260999999999,20.9,16,1,3,0,-0.8660254037844384,-0.5000000000000004
2024-07-12 01:00:00,23.820827,24.067678,0.514263,3.196903,-0.483436,-0.200059,0.2468509999999995,0.021588797064014613,0.13282972291718378,0,0,13913.412,20.0,9,1,8,0,0.7071067811865476,-0.7071067811865475
2024-07-12 02:00:00,20.258296,20.115341,0.480043,1.543657,-0.401747,-0.144982,-0.1429550000000006,0.02369611935771893,0.07674028493973828,0,0,13345.363000000001,19.6,0,1,2,0,0.0,1.0
2024-07-12 03:00:00,19.086476,19.154316,0.488584,1.812995,-0.302108,-0.123679,0.06784000000000034,0.02559843943952776,0.09465203560388163,0,0,13012.671999999999,19.0,17,0,7,0,-0.9659258262890683,-0.25881904510252063
